Это типично для него.	It is typical of him. || It's typical of him.
Она ревнует своего мужа.	She is jealous of her husband.
Он очень хорош в игре на гитаре.	He is very good at playing the guitar.
Кто ответственен за это?	Who is responsible for it? || Who is responsible for this?
Я особенно увлекаюсь иностранными языками.	I am particularly keen on foreign languages. || I'm particularly keen on foreign languages.
Он готов к худшему.	He is prepared for the worst. || He is ready for the worst.
Это очень типично для него.	It is very typical of him. || It's very typical of him.
Он ответственен за всё.	He is responsible for everything.
Это относится к этому вопросу.	It relates to this issue. || It is related to this issue. || It's related to this issue.
Давай обсудим некоторые вещи, связанные с этой проблемой.	Let's discuss some things related to this problem. || Let's discuss some things connected with this problem.
Он ужасно говорит по-французски.	He is terrible at speaking French. || He's terrible at speaking French.
Я раньше думал, что я был безнадёжен в изучении иностранных языков.	I used to think that I was hopeless at learning foreign languages. || I used to think I was hopeless at learning foreign languages.
Эта вещь мне знакома.	This thing is familiar to me.
Я знаком с этой вещью.	I am familiar with this thing. || I'm familiar with this thing.
Я был шокирован новостью.	I was shocked by the news. || I was shocked at the news.
Она очень зла на него.	She is very angry with him. || She's very angry with him.
Она очень обеспокоена своим будущим.	She is very anxious about her future. || She feels very anxious about her future. || She is very worried about her future.
Я знаком с его друзьями.	I am familiar with his friends. || I'm familiar with his friends.
Он отлично владеет иностранными языками.	He is excellent at foreign languages. || He is excellent at speaking foreign languages. || He's excellent at foreign languages.
Она очень хороша в игре на скрипке.	She is very good at playing the violin. || She's very good at playing the violin.
Я привык к этому.	I am used to it. || I'm used to it. || I am accustomed to it. || I'm accustomed to it.
Я привык делать это.	I am used to doing it. || I'm used to doing it. || I am accustomed to doing it. || I'm accustomed to doing it.
Я раньше тратил слишком много времени на это.	I used to spend too much time on it.
Она ужасно играет в теннис.	She is terrible at playing tennis. || She's terrible at playing tennis. || She is terrible at tennis. || She's terrible at tennis.
Его обвинили в преступлении.	He was accused of a crime.
Он отлично разбирается в математике.	He is excellent at maths. || He is excellent at math. || He is excellent at mathematics. || He's excellent at maths.
Его лицо кажется мне знакомым.	His face seems familiar to me.
Я знаком с ним.	I am familiar with him. || I'm familiar with him.
Он очень зол из-за этой ситуации.	He is very angry about this situation. || He's very angry about this situation.
Её обвинили во лжи.	She was accused of lying.
Я знаком с ней.	I am familiar with her. || I'm familiar with her.
Эта проблема знакома мне.	This problem is familiar to me.
Его лицо мне очень знакомо.	His face is very familiar to me.
Я был действительно удивлён её словами.	I was really surprised by her words. || I was really surprised at her words.
Это довольно типично для него.	It is quite typical of him. || It's quite typical of him.
Он был впечатлён её красотой.	He was impressed by her beauty.
Я действительно устал делать это снова и снова.	I am really tired of doing it again and again. || I'm really tired of doing it again and again.
Он устал делать те же самые вещи снова и снова.	He is tired of doing the same things again and again. || He's tired of doing the same things again and again.
Он ответственен за это.	He is responsible for it. || He's responsible for it.
Я не готов к этому.	I am not prepared for it. || I'm not prepared for it. || I am unprepared for it. || I'm unprepared for it.
Мы все были шокированы новостями.	We were all shocked by the news. || We were all shocked at the news.
Она очень обеспокоена этой ситуацией.	She is very worried about this situation. || She's very worried about this situation.
Он плохо играет в футбол.	He is bad at playing football. || He's bad at playing football.
Он очень беспокоится о своём будущем.	He is very anxious about his future. || He's very anxious about his future. || He is very worried about his future.
Я был действительно удивлён этим решением.	I was really surprised by this decision. || I was really surprised at this decision.
Мои идеи похожи на её.	My ideas are similar to hers.
Её идеи схожи с моими.	Her ideas are similar to mine.
Некоторые из моих коллег очень чувствительны к критике.	Some of my colleagues are very sensitive to criticism.
Все были шокированы его внезапной смертью.	Everyone was shocked by his sudden death. || Everyone was shocked at his sudden death.
Он не способен сделать такую вещь.	He is incapable of doing such a thing. || He's incapable of doing such a thing.
Он очень чувствителен к критике других людей.	He is very sensitive to other people's criticism. || He's very sensitive to other people's criticism.
Проблема этих мальчиков.	These boys' problem.
Проблемы этих мальчиков.	These boys' problems.
Проблема этого мальчика.	This boy's problem.
Я уверен, что он не способен говорить неправду.	I am sure that he is incapable of telling a lie. || I'm sure that he is incapable of telling a lie.
Она очень чувствительна к критике своих коллег.	She is very sensitive to her colleagues' criticism. || She's very sensitive to her colleagues' criticism.
Тебе не нужно бояться делать это.	You don't need to be afraid of doing it. || You needn't be afraid of doing it.
Эта вещь всегда ассоциируется с богатством и успехом.	This thing is always associated with wealth and success.
