Я готов к этому.	I'm ready for it.
Она замужем за моим другом.	She is married to my friend. || She's married to my friend.
Он был виновен в убийстве.	He was guilty of murder.
Руководство осведомлено об этих проблемах.	The management are aware of these problems.
Ему не было стыдно за такое поведение.	He wasn't ashamed of such behavior. || He wasn't ashamed of such behaviour.
Он был виновен в этом преступлении.	He was guilty of this crime.
Это очень вредно для твоего здоровья.	It's very harmful to your health. || It is very harmful to your health.
Руководство было осведомлено об этих трудностях.	The management were aware of these difficulties.
Это может быть очень вредно для твоего здоровья.	It can be very harmful to your health.
Ему должно быть стыдно за это.	He must be ashamed of it.
Он не был виновен в преступлении.	He wasn't guilty of the crime.
Я ещё не готов к этому.	I'm not ready for it yet.
Это очень эгоистично с его стороны.	It's very selfish of him.
Он занят домашней работой.	He is busy with his homework. || He's busy with his homework.
Это очень жестоко с его стороны.	It's very cruel of him.
Она знает об этих рисках.	She is aware of these risks. || She's aware of these risks.
Я не рад этим результатам.	I'm not happy about these results. || I am not happy about these results.
Я был поражён красотой этого места.	I was amazed by the beauty of this place.
Он действительно рад этому.	He is really happy about it. || He's really happy about it. || He's really glad about it.
Ей действительно стыдно за это.	She is really ashamed of it. || She's really ashamed of it.
Тебе нужно быть осторожнее с этим.	You need to be more careful with it.
Они были действительно вдохновлены его словами.	They were really inspired by his words.
Это очень вредно для детей.	It's very harmful to children. || It is very harmful to children.
Эти две вещи тесно связаны друг с другом.	These two things are closely connected with each other.
Он очень занят этой работой.	He is very busy with this work. || He's very busy with this work.
Он очень увлечён этой идеей.	He is very enthusiastic about this idea. || He's very enthusiastic about this idea.
Я был поражён результатами.	I was amazed by the results.
Что-то не так с двигателем.	Something is wrong with the engine. || Something's wrong with the engine.
Что с этим не так?	What's wrong with it? || What is wrong with it?
Он очень успешен в бизнесе.	He is very successful in business. || He's very successful in business.
Город всегда переполнен туристами.	The city is always crowded with tourists.
Я полностью удовлетворён этими результатами.	I'm fully satisfied with these results. || I am fully satisfied with these results.
Наш босс очень дружелюбен со своими сотрудниками.	Our boss is very friendly with his employees.
Я знаю об этих изменениях.	I am aware of these changes. || I'm aware of these changes.
Эта книга подходит для начинающих.	This book is suitable for beginners.
Кто ответственен за всё это?	Who is responsible for all this?
Я был действительно вдохновлён этой речью.	I was really inspired by this speech. || I was really inspired by the speech.
Эта программа не подходит для детей.	This program isn't suitable for children. || This program is not suitable for children.
Это место переполнено туристами.	This place is crowded with tourists.
Он очень жесток по отношению к этому бедному человеку.	He is very cruel to this poor man. || He's very cruel to this poor man.
Что-то не так с лифтом.	Something is wrong with the elevator. || Something's wrong with the elevator. || Something is wrong with the lift. || Something's wrong with the lift.
Я был поражён своими результатами.	I was amazed by my results.
Я был действительно вдохновлён достижениями моего друга.	I was really inspired by my friend's achievements.
Он боится неизвестности.	He is scared of the unknown. || He's scared of the unknown.
Он женат на ней уже пять лет.	He has been married to her for five years. || He's been married to her for five years.
Эти материалы подходят для начинающих и для более высоких уровней тоже.	These materials are suitable for beginners and high levels as well.
Часто говорят, что курение очень вредно для здоровья людей.	It is often said that smoking is very harmful to people's health. || It's often said that smoking is very harmful to people's health.
Он недоволен результатами теста.	He is dissatisfied with the results of the test. || He's dissatisfied with the results of the test.
Она замужем за ним уже более тридцати лет.	She has been married to him for over thirty years. || She's been married to him for over thirty years. || She has been married to him for over 30 years. || She's been married to him for over 30 years.
Он был действительно вдохновлён достижениями своего друга.	He was really inspired by his friend's achievements.
Я недоволен качеством этого сервиса.	I am dissatisfied with the quality of this service. || I'm dissatisfied with the quality of this service.
Она очень подозрительно относится к нему.	She is very suspicious of him. || She's very suspicious of him.
Это близко к этому месту.	It's close to this place. || It is close to this place.
Он очень вежлив с ней.	He is very polite to her. || He's very polite to her.
Чем ты интересуешься?	What are you interested in?
Она очень подозрительно относится к другим людям.	She is very suspicious of other people. || She's very suspicious of other people.
Я думаю, с ним что-то не так.	I think something's wrong with him. || I think something is wrong with him.
Я думаю, с этой вещью что-то не так.	I think something is wrong with this thing. || I think something's wrong with this thing.
С ней что-то не так?	Is anything wrong with her? || Is there anything wrong with her?
Она живёт близко к нему.	She lives close to him.
Она живёт ближе к тому парку.	She lives closer to that park. || She lives closer to the park.
Они живут близко ко мне.	They live close to me.
О чём ты беспокоишься?	What are you worried about?
Я не беспокоюсь о своих результатах.	I don't worry about my results. || I do not worry about my results.
Ты беспокоишься о результате этого теста?	Are you worried about the result of this test?
Чем ты увлекаешься?	What are you fond of? || What are you keen on?
Я увлекаюсь чтением на английском.	I'm keen on reading in English. || I am keen on reading in English.
Он ничего не боится.	He isn't scared of anything. || He is not scared of anything.
Я боюсь темноты.	I'm scared of darkness. || I am scared of darkness. || I'm scared of the dark. || I am scared of the dark.
Она боится неизвестности.	She is scared of the unknown. || She's scared of the unknown.
Я действительно боюсь пауков.	I am really afraid of spiders. || I'm really afraid of spiders.
Ты боишься пауков?	Are you afraid of spiders?
